t  par1   acc
-4576 0.319719 0.241
-4575 0.319973 0.236
-4574 0.320214 0.229
-4573 0.320415 0.227
-4572 0.320665 0.213
-4571 0.320873 0.224
-4570 0.321074 0.219
-4569 0.321234 0.219
-4568 0.321434 0.229
-4567 0.321731 0.228
-4566 0.321971 0.22
-4565 0.322223 0.222
-4564 0.322508 0.212
-4563 0.322707 0.207
-4562 0.322926 0.222
-4561 0.323128 0.202
-4560 0.323442 0.217
-4559 0.323619 0.215
-4558 0.323882 0.212
-4557 0.324147 0.228
-4556 0.324348 0.202
-4555 0.324621 0.233
-4554 0.324927 0.23
-4553 0.325125 0.228
-4552 0.325404 0.228
-4551 0.325621 0.233
-4550 0.325872 0.235
-4549 0.326103 0.22
-4548 0.32631 0.221
-4547 0.326475 0.198
-4546 0.32673 0.243
-4545 0.326966 0.237
-4544 0.3273 0.22
-4543 0.32761 0.268
-4542 0.327878 0.214
-4541 0.328067 0.21
-4540 0.32838 0.229
-4539 0.328599 0.209
-4538 0.328868 0.238
-4537 0.328997 0.192
-4536 0.329238 0.204
-4535 0.329488 0.207
-4534 0.329728 0.222
-4533 0.329944 0.226
-4532 0.33016 0.222
-4531 0.330389 0.231
-4530 0.330595 0.217
-4529 0.330819 0.2
-4528 0.330997 0.216
-4527 0.331243 0.227
-4526 0.331455 0.227
-4525 0.331576 0.202
-4524 0.331809 0.241
-4523 0.332033 0.202
-4522 0.332303 0.221
-4521 0.332544 0.23
-4520 0.332709 0.192
-4519 0.332949 0.218
-4518 0.333209 0.238
-4517 0.333422 0.227
-4516 0.333654 0.207
-4515 0.333888 0.212
-4514 0.334087 0.212
-4513 0.334311 0.217
-4512 0.334542 0.216
-4511 0.334772 0.227
-4510 0.335022 0.22
-4509 0.335306 0.217
-4508 0.335585 0.217
-4507 0.335851 0.208
-4506 0.336152 0.223
-4505 0.336313 0.204
-4504 0.336494 0.212
-4503 0.336724 0.201
-4502 0.336954 0.215
-4501 0.33718 0.217
-4500 0.337354 0.208
-4499 0.337631 0.232
-4498 0.337908 0.234
-4497 0.338092 0.207
-4496 0.338281 0.189
-4495 0.338415 0.212
-4494 0.338668 0.208
-4493 0.338866 0.213
-4492 0.33905 0.241
-4491 0.339212 0.19
-4490 0.339427 0.205
-4489 0.339642 0.212
-4488 0.339863 0.233
-4487 0.340002 0.168
-4486 0.340268 0.211
-4485 0.340508 0.221
-4484 0.340751 0.234
-4483 0.340941 0.212
-4482 0.341147 0.219
-4481 0.341427 0.222
-4480 0.341643 0.196
-4479 0.341881 0.245
-4478 0.342095 0.215
-4477 0.342325 0.211
-4476 0.34251 0.195
-4475 0.342702 0.191
-4474 0.342905 0.221
-4473 0.343158 0.216
-4472 0.343391 0.227
-4471 0.343584 0.213
-4470 0.343763 0.197
-4469 0.343976 0.209
-4468 0.344197 0.213
-4467 0.34442 0.217
-4466 0.344653 0.217
-4465 0.344875 0.208
-4464 0.345161 0.207
-4463 0.345391 0.224
-4462 0.345555 0.229
-4461 0.345778 0.206
-4460 0.346012 0.195
-4459 0.346185 0.189
-4458 0.346433 0.223
-4457 0.346646 0.207
-4456 0.34691 0.206
-4455 0.347121 0.194
-4454 0.347301 0.209
-4453 0.347575 0.221
-4452 0.347789 0.208
-4451 0.348043 0.226
-4450 0.348221 0.209
-4449 0.348419 0.222
-4448 0.348598 0.205
-4447 0.348787 0.192
-4446 0.348977 0.213
-4445 0.349227 0.222
-4444 0.349419 0.205
-4443 0.349645 0.215
-4442 0.34985 0.219
-4441 0.350089 0.205
-4440 0.350342 0.194
-4439 0.350556 0.206
-4438 0.350747 0.204
-4437 0.350938 0.191
-4436 0.351084 0.215
-4435 0.351304 0.221
-4434 0.351491 0.192
-4433 0.351624 0.194
-4432 0.351838 0.216
-4431 0.352022 0.215
-4430 0.352254 0.199
-4429 0.352458 0.223
-4428 0.352663 0.19
-4427 0.352816 0.205
-4426 0.352941 0.221
-4425 0.353212 0.234
-4424 0.353391 0.222
-4423 0.353551 0.207
-4422 0.353784 0.211
-4421 0.353954 0.211
-4420 0.354073 0.212
-4419 0.354278 0.172
-4418 0.354483 0.214
-4417 0.354631 0.218
-4416 0.354785 0.206
-4415 0.355632 0.223
-4414 0.355872 0.202
-4413 0.356108 0.206
-4412 0.3563 0.205
-4411 0.356538 0.218
-4410 0.356712 0.224
-4409 0.356856 0.203
-4408 0.357014 0.22
-4407 0.3572 0.203
-4406 0.357366 0.201
-4405 0.35754 0.196
-4404 0.357713 0.201
-4403 0.357893 0.187
-4402 0.358058 0.19
-4401 0.35826 0.203
-4400 0.358519 0.198
-4399 0.358686 0.199
-4398 0.3589 0.207
-4397 0.359068 0.211
